source	source_number	source_name	target	target_number	target_name	distance	line_number
140	905	北京西站	141	906	六里桥东	2	9
141	906	六里桥东	142	907	六里桥	3	9
142	907	六里桥	143	908	七里庄	3	9
143	908	七里庄	144	909	丰台东大街	3	9
144	909	丰台东大街	145	910	丰台南路	2	9
145	910	丰台南路	146	911	科怡路	2	9
146	911	科怡路	147	912	丰台科技园	2	9
147	912	丰台科技园	148	913	郭公庄	2	9
137	902	白石桥南	136	901	国家图书馆	2	9
138	903	白堆子	137	902	白石桥南	2	9
139	904	军事博物馆	138	903	白堆子	3	9
140	905	北京西站	139	904	军事博物馆	3	9
141	906	六里桥东	140	905	北京西站	2	9
142	907	六里桥	141	906	六里桥东	3	9
143	908	七里庄	142	907	六里桥	3	9
144	909	丰台东大街	143	908	七里庄	3	9
145	910	丰台南路	144	909	丰台东大街	2	9
146	911	科怡路	145	910	丰台南路	2	9
147	912	丰台科技园	146	911	科怡路	2	9
148	913	郭公庄	147	912	丰台科技园	2	9
149	1001	巴沟	150	1002	苏州街	2	10
150	1002	苏州街	151	1003	海淀黄庄	2	10
151	1003	海淀黄庄	152	1004	知春里	2	10
152	1004	知春里	153	1005	知春路	2	10
153	1005	知春路	154	1006	西土城	2	10
154	1006	西土城	155	1007	牡丹园	2	10
155	1007	牡丹园	156	1008	健德门	2	10
156	1008	健德门	157	1009	北土城	2	10
157	1009	北土城	158	1010	安贞门	2	10
158	1010	安贞门	159	1011	惠新西街南口	3	10
159	1011	惠新西街南口	160	1012	芍药居	3	10
160	1012	芍药居	161	1013	太阳宫	2	10
161	1013	太阳宫	162	1014	三元桥	2	10
162	1014	三元桥	163	1015	亮马桥	3	10
163	1015	亮马桥	164	1016	农业展览馆	2	10
164	1016	农业展览馆	165	1017	团结湖	2	10
165	1017	团结湖	166	1018	呼家楼	2	10
166	1018	呼家楼	167	1019	金台夕照	2	10
167	1019	金台夕照	168	1020	国贸	2	10
168	1020	国贸	169	1021	双井	2	10
169	1021	双井	170	1022	劲松	2	10
170	1022	劲松	171	1023	潘家园	2	10
171	1023	潘家园	172	1024	十里河	2	10
172	1024	十里河	173	1025	分钟寺	3	10
173	1025	分钟寺	174	1026	成寿寺	2	10
174	1026	成寿寺	175	1027	宋家庄	3	10
175	1027	宋家庄	176	1028	石榴庄	2	10
176	1028	石榴庄	177	1029	大红门	3	10
177	1029	大红门	178	1030	角门东	1	10
178	1030	角门东	179	1031	角门西	3	10
179	1031	角门西	180	1032	草桥	3	10
180	1032	草桥	181	1033	纪家庙	2	10
181	1033	纪家庙	182	1034	首经贸	3	10
182	1034	首经贸	183	1035	丰台站	3	10
183	1035	丰台站	184	1036	泥洼	3	10
184	1036	泥洼	185	1037	西局	2	10
185	1037	西局	186	1038	六里桥	3	10
186	1038	六里桥	187	1039	莲花桥	3	10
187	1039	莲花桥	188	1040	公主坟	2	10
188	1040	公主坟	189	1041	西钓鱼台	3	10
189	1041	西钓鱼台	190	1042	慈寿寺	3	10
190	1042	慈寿寺	191	1043	车道沟	2	10
191	1043	车道沟	192	1044	长春桥	2	10
192	1044	长春桥	193	1045	火器营	2	10
193	1045	火器营	149	1001	巴沟	3	10
150	1002	苏州街	149	1001	巴沟	2	10
151	1003	海淀黄庄	150	1002	苏州街	2	10
152	1004	知春里	151	1003	海淀黄庄	2	10
153	1005	知春路	152	1004	知春里	2	10
154	1006	西土城	153	1005	知春路	2	10
155	1007	牡丹园	154	1006	西土城	2	10
156	1008	健德门	155	1007	牡丹园	2	10
157	1009	北土城	156	1008	健德门	2	10
158	1010	安贞门	157	1009	北土城	2	10
159	1011	惠新西街南口	158	1010	安贞门	3	10
160	1012	芍药居	159	1011	惠新西街南口	3	10
161	1013	太阳宫	160	1012	芍药居	2	10
162	1014	三元桥	161	1013	太阳宫	2	10
163	1015	亮马桥	162	1014	三元桥	3	10
164	1016	农业展览馆	163	1015	亮马桥	2	10
165	1017	团结湖	164	1016	农业展览馆	2	10
166	1018	呼家楼	165	1017	团结湖	2	10
167	1019	金台夕照	166	1018	呼家楼	2	10
168	1020	国贸	167	1019	金台夕照	2	10
169	1021	双井	168	1020	国贸	2	10
170	1022	劲松	169	1021	双井	2	10
